,IDStation,NameStation,Date,Ammonia,CO,NO2,NOx,Ozone,PM10,PM25,Sulfur_dioxide,Wind_speed,Temperature,Relative_humidity,Global_radiation,Rainfall,Quadrante
69,677,Cremona Via Fatebenefratelli,2014-04-23,6.2,0.2666666666666666,35.795833333333334,70.72916666666667,39.10833333333333,45.0,41.0,0.6833333333333333,0.4388921006935305,16.395833333333336,73.7,217.3583333333333,0.0,1
70,677,Cremona Via Fatebenefratelli,2014-04-24,6.5,0.2708333333333333,30.96666666666667,43.80416666666667,62.50000000000001,45.0,32.0,2.225,0.7980623443120308,18.7875,62.016666666666666,279.0375,0.0,3
71,677,Cremona Via Fatebenefratelli,2014-04-25,6.2,0.2208333333333333,25.2375,33.93333333333334,64.65,28.0,18.0,1.5208333333333337,0.2613434328511965,18.645833333333336,56.212500000000006,251.9291666666667,0.0,1
72,677,Cremona Via Fatebenefratelli,2014-04-26,5.5,0.2083333333333333,22.104166666666668,28.5375,73.29583333333333,25.0,16.0,1.0625,0.3877552456810005,19.45416666666667,53.24166666666667,273.1791666666667,0.0,3
73,677,Cremona Via Fatebenefratelli,2014-04-27,5.300000000000001,0.1833333333333333,13.033333333333331,16.816666666666666,71.3375,17.0,14.0,0.2375,0.5445617434128662,16.145833333333336,70.69583333333334,124.52916666666668,0.4,1
74,677,Cremona Via Fatebenefratelli,2014-04-28,2.8000000000000003,0.225,24.6125,32.45,44.37083333333334,14.0,12.0,0.2166666666666666,1.542937477448379,11.695833333333336,99.27916666666668,33.37916666666667,37.60000000000001,3
75,677,Cremona Via Fatebenefratelli,2014-04-29,2.9000000000000004,0.2416666666666666,23.6875,31.65833333333333,56.645833333333336,27.0,15.0,0.3041666666666667,1.1268053180050006,15.570833333333333,77.75416666666668,237.0875,22.4,3
76,677,Cremona Via Fatebenefratelli,2014-04-30,2.3000000000000003,0.2291666666666666,32.3125,41.520833333333336,46.69583333333333,20.0,12.0,1.0416666666666667,0.8267572687521146,13.720833333333331,90.79583333333332,77.01250000000002,23.0,1
77,677,Cremona Via Fatebenefratelli,2014-05-01,3.2,0.2166666666666666,15.829166666666667,19.7125,69.67083333333333,20.0,18.0,1.4208333333333334,0.7698661337860601,16.195833333333333,72.12916666666666,280.9041666666667,0.2,4
78,677,Cremona Via Fatebenefratelli,2014-05-02,2.4000000000000004,0.2166666666666666,22.4375,28.258333333333336,72.66250000000001,14.0,9.0,0.6083333333333334,1.0573406276875308,13.595833333333331,88.65,104.17916666666667,25.4,1
79,677,Cremona Via Fatebenefratelli,2014-05-03,2.6,0.2333333333333333,19.6625,25.7875,64.575,21.0,19.0,0.8083333333333333,0.5637370236783773,15.529166666666669,75.5125,196.45416666666668,0.8,4
80,677,Cremona Via Fatebenefratelli,2014-05-04,2.5,0.2083333333333333,20.70416666666667,25.54583333333333,71.02916666666667,19.0,10.0,1.2583333333333333,0.1521711356836071,16.491666666666667,63.79166666666667,298.0041666666667,0.2,2
81,677,Cremona Via Fatebenefratelli,2014-05-05,3.5,0.2083333333333333,24.20833333333333,31.82916666666667,72.07083333333334,21.0,17.0,0.7791666666666667,1.7333277852428244,16.933333333333334,56.175,307.33333333333337,0.0,1
82,677,Cremona Via Fatebenefratelli,2014-05-06,3.7,0.2291666666666666,26.5625,35.13333333333333,79.41250000000001,27.0,20.0,1.7333333333333334,0.589164003803778,17.129166666666666,56.19583333333333,247.475,0.0,1
83,677,Cremona Via Fatebenefratelli,2014-05-07,4.0,0.225,32.5875,40.17916666666667,69.62916666666668,20.0,,1.8583333333333332,0.7410127254933042,18.075000000000003,56.06250000000001,231.975,0.0,1
84,677,Cremona Via Fatebenefratelli,2014-05-08,3.5,0.2208333333333333,31.275,42.44166666666667,70.77083333333333,,,1.6833333333333331,0.7819705519389875,17.70416666666667,62.6625,265.0166666666667,0.0,1
85,677,Cremona Via Fatebenefratelli,2014-05-09,4.4,0.2375,41.86666666666667,52.6875,67.22916666666667,41.0,25.0,1.7875,0.7897656446284486,19.725,58.775000000000006,281.625,0.0,1
86,677,Cremona Via Fatebenefratelli,2014-05-10,7.5,0.2291666666666666,27.308333333333337,34.8375,86.075,34.0,26.0,0.9208333333333334,0.5559071268629472,21.375,55.025000000000006,269.27083333333337,0.0,1
87,677,Cremona Via Fatebenefratelli,2014-05-11,5.4,0.1875,13.979166666666668,17.691666666666666,76.59166666666667,27.0,12.0,0.55,0.92694896734815,20.004166666666663,55.020833333333336,217.42916666666667,0.0,4
88,677,Cremona Via Fatebenefratelli,2014-05-12,4.5,0.1458333333333333,20.15,25.770833333333336,79.00416666666668,15.0,7.0,1.025,0.5054724096472661,17.729166666666668,44.67083333333333,267.55,0.0,2
89,677,Cremona Via Fatebenefratelli,2014-05-13,4.3,0.1291666666666666,18.141666666666666,22.25,83.42916666666667,12.0,10.0,0.8125,1.2876396913508283,15.704166666666667,56.00416666666667,268.71250000000003,0.0,1
90,677,Cremona Via Fatebenefratelli,2014-05-14,4.800000000000001,0.1458333333333333,22.200000000000003,28.958333333333336,65.15416666666667,17.0,13.0,1.8291666666666668,1.0514483385534634,16.858333333333334,47.08333333333334,330.675,0.0,4
91,677,Cremona Via Fatebenefratelli,2014-05-15,4.9,0.1458333333333333,25.60833333333333,33.083333333333336,69.97916666666667,15.0,6.0,2.020833333333333,0.1076707484835272,17.075,31.4125,330.5458333333333,0.0,4
92,677,Cremona Via Fatebenefratelli,2014-05-16,3.9,0.175,23.745833333333334,29.07916666666667,77.72083333333333,19.0,10.0,3.5708333333333333,0.9181846150271588,18.375,29.991666666666667,262.0916666666667,0.0,3
93,677,Cremona Via Fatebenefratelli,2014-05-17,4.5,0.1416666666666666,21.09583333333333,26.354166666666668,82.275,11.0,3.0,1.825,0.3891152589213393,19.2375,34.74583333333334,317.27083333333337,0.0,2
94,677,Cremona Via Fatebenefratelli,2014-05-18,7.300000000000001,0.1958333333333333,17.96666666666667,22.020833333333336,93.63333333333334,19.0,13.0,0.7458333333333333,0.5489050654538462,19.554166666666667,42.32083333333334,314.2541666666667,0.0,3
95,677,Cremona Via Fatebenefratelli,2014-05-19,4.2,0.1833333333333333,23.64166666666667,29.000000000000004,82.40416666666667,22.0,11.0,0.4083333333333334,0.797975488409591,18.07916666666667,51.35833333333333,213.175,0.0,2
96,677,Cremona Via Fatebenefratelli,2014-05-20,5.9,0.2041666666666667,18.254166666666663,22.504166666666663,89.59583333333333,29.0,17.0,1.475,1.334653978688436,20.3625,49.72083333333334,275.87083333333334,0.0,4
97,677,Cremona Via Fatebenefratelli,2014-05-21,5.800000000000001,0.2125,24.6,30.620833333333337,87.67916666666667,31.0,15.0,1.2166666666666668,0.2842389343749784,22.47083333333333,47.92916666666667,279.9916666666667,0.0,2
98,677,Cremona Via Fatebenefratelli,2014-05-22,6.6000000000000005,0.2166666666666666,24.541666666666668,32.61666666666667,80.11250000000001,34.0,20.0,2.020833333333333,0.9325787753949902,22.09166666666667,52.5375,225.475,0.0,1
99,677,Cremona Via Fatebenefratelli,2014-05-23,6.1000000000000005,0.2041666666666667,23.458333333333336,30.325000000000003,66.48333333333333,25.0,15.0,1.4875,1.2347971695586573,22.075000000000003,49.90833333333334,241.2,0.0,2
100,677,Cremona Via Fatebenefratelli,2014-05-24,5.0,0.1666666666666666,22.950000000000003,27.708333333333336,81.9375,20.0,12.0,1.2583333333333335,0.8697291102308379,20.495833333333334,41.9625,328.7583333333333,0.0,4
101,677,Cremona Via Fatebenefratelli,2014-05-25,6.1000000000000005,0.1666666666666666,19.066666666666663,22.8125,87.51666666666667,20.0,13.0,2.0375,0.3376285555464795,21.51666666666667,37.954166666666666,279.40000000000003,0.0,2
102,677,Cremona Via Fatebenefratelli,2014-05-26,8.200000000000001,0.2166666666666666,31.69166666666667,41.425,62.212500000000006,27.0,15.0,1.1125,0.0800018501386337,19.78333333333333,54.54583333333333,139.6875,0.0,1
