,IDStation,NameStation,Date,Ammonia,Arsenic,Benzene,Benzo_a_pyrene,Cadmium,CO,Lead,Nikel,NO2,NOx,Ozone,PM10,PM25,Sulfur_dioxide,Wind_speed,Temperature,Relative_humidity,Global_radiation,Rainfall,Quadrante
11,703,Schivenoglia Via Malpasso,2014-01-12,14.8,,1.1,,,0.8250000000000001,,,38.7,115.45833333333334,4.329166666666667,64.0,57.0,1.9375,0.3975180780648975,8.466666666666667,95.94166666666668,22.96666666666667,0.0,1
12,703,Schivenoglia Via Malpasso,2014-01-13,12.1,,0.7000000000000001,0.5,,0.6833333333333333,,,25.40833333333333,68.9375,12.5875,63.0,50.0,0.3291666666666667,0.624796059511893,8.291666666666668,89.4625,29.216666666666672,0.0,1
13,703,Schivenoglia Via Malpasso,2014-01-14,7.4,1.1,0.7000000000000001,,0.0,0.6916666666666668,1.1,2.1,30.370833333333334,82.15416666666667,12.25,28.0,28.0,0.0,1.1586548901677358,7.612500000000001,95.27083333333334,20.479166666666668,2.8000000000000003,1
14,703,Schivenoglia Via Malpasso,2014-01-15,9.0,,0.6000000000000001,,,0.6666666666666667,,,25.137500000000003,64.13333333333334,11.154166666666669,32.0,30.0,4.042857142857143,2.261346621569893,5.95,91.075,37.391666666666666,0.0,4
15,703,Schivenoglia Via Malpasso,2014-01-17,,,,,,1.4500000000000002,,,33.66153846153846,148.4923076923077,13.676923076923078,29.0,24.0,8.523076923076923,0.9297010149524896,7.295833333333333,94.79583333333332,18.679166666666667,1.0,1
16,703,Schivenoglia Via Malpasso,2014-01-18,6.4,,1.1,0.8,,1.6083333333333334,,,37.6,151.65416666666667,3.529166666666667,25.0,22.0,8.5,0.8364590264185097,6.545833333333333,98.35833333333332,10.141666666666667,24.8,3
17,703,Schivenoglia Via Malpasso,2014-01-19,8.700000000000001,,1.0,,,1.6541666666666668,,,28.308333333333334,115.4375,4.575,27.0,18.0,8.658333333333333,0.7353768567734676,8.658333333333333,98.56666666666668,21.00416666666667,17.0,3
18,703,Schivenoglia Via Malpasso,2014-01-20,10.2,,0.9,,,1.4041666666666668,,,30.37916666666667,113.75,3.766666666666667,32.0,22.0,6.55,1.3599551359501971,9.0375,99.15,18.245833333333334,0.8,3
19,703,Schivenoglia Via Malpasso,2014-01-21,12.7,1.1,0.9,,0.0,1.025,4.2,6.300000000000001,35.72916666666667,142.93333333333334,9.083333333333334,37.0,33.0,4.316666666666666,2.50368175107892,9.816666666666668,91.99166666666667,69.74583333333334,0.0,4
20,703,Schivenoglia Via Malpasso,2014-01-22,28.4,,1.0,1.3,,1.108695652173913,,,34.42173913043478,171.68695652173915,4.717391304347826,42.0,38.0,2.956521739130435,0.2782771787359805,9.033333333333331,91.36666666666667,75.96666666666667,0.2,4
21,703,Schivenoglia Via Malpasso,2014-01-23,28.3,,0.6000000000000001,,,0.917391304347826,,,35.93913043478261,92.05625,12.060869565217391,38.0,32.0,1.8608695652173917,0.6332625660117915,10.304166666666667,84.025,75.37083333333334,3.2,3
22,703,Schivenoglia Via Malpasso,2014-01-24,24.4,,0.4,,,0.8541666666666667,,,21.245833333333334,,23.60833333333333,20.0,17.0,1.3833333333333333,0.3188829557761318,8.441666666666666,90.99583333333334,36.375,1.8,2
23,703,Schivenoglia Via Malpasso,2014-01-25,14.9,,0.5,0.7000000000000001,,0.891304347826087,,,27.343478260869567,,20.034782608695654,,24.0,1.373913043478261,0.2063071240479418,6.054166666666667,79.20416666666667,108.5125,0.2,4
